pr_author_login,pr_author_name,pr_create_at,pr_merged_at,pr_changed_files,pr_LOC,pr_reviewers,pr_first_review_at,pr_review_commits,pr_review_comments,pr_commits,repo_stars,repo_created_at,repo_external_contribution,repo_team_size,user_followers,user_created_at,user_experience,user_repo_experience,user_main_member,user_watched,user_succ_rate
kolyshkin,Kir Kolyshkin,2021-07-16T19:50:43Z,2021-07-23T22:16:34Z,157,4717,{'Unknown'},2021-07-16 19:54:39,0,3,2,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,78,2013-05-24T20:12:30Z,34.01,4.0,0,0,0.35283740076448106
wojtek-t,Wojciech Tyczynski,2021-07-16T05:53:27Z,2021-07-16T12:50:09Z,1,2,{'Unknown'},2021-07-16 12:44:35,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,301,2015-01-28T15:52:15Z,11.01,9.0,0,1,0.5449591280653951
jingxu97,Jing Xu,2021-07-15T23:08:27Z,2021-07-21T22:01:52Z,3,6,{'Unknown'},2021-07-16 16:06:03,0,5,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,78,2016-05-03T16:35:55Z,10.01,6.0,0,1,0.5994005994005994
alculquicondor,Aldo Culquicondor,2021-07-15T17:38:15Z,2021-07-15T23:06:09Z,2,214,{'Unknown'},2021-07-15 20:46:46,0,1,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,89,2012-01-02T14:34:16Z,14.01,2.0,0,0,0.8565310492505354
aojea,Antonio Ojea,2021-07-15T11:53:03Z,2021-07-23T13:59:17Z,1,32,{'Unknown'},2021-07-15 12:14:57,1,30,2,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,105,2014-01-20T11:50:31Z,17.009999999999998,5.0,0,1,0.41152263374485604
wojtek-t,Wojciech Tyczynski,2021-07-15T11:09:59Z,2021-07-15T13:42:49Z,6,32,{'Unknown'},2021-07-15 13:41:22,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,301,2015-01-28T15:52:15Z,11.01,9.0,0,1,0.5449591280653951
puerco,Puerco,2021-07-14T03:58:43Z,2021-07-14T20:34:40Z,9,94,{'Unknown'},2021-07-14 19:21:56,0,0,3,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,19,2013-03-21T22:45:11Z,27.009999999999998,2.0,0,0,0.9626064420584969
cpanato,Carlos Tadeu Panato Junior,2021-07-13T16:28:36Z,2021-07-13T21:10:01Z,7,18,{'Unknown'},2021-07-13 19:18:01,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,160,2013-04-10T13:39:08Z,30.009999999999998,0.0,0,1,0.8997000999666779
cpanato,Carlos Tadeu Panato Junior,2021-07-13T16:06:57Z,2021-07-13T19:50:14Z,6,16,{'Unknown'},2021-07-13 19:18:31,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,160,2013-04-10T13:39:08Z,30.009999999999998,0.0,0,1,0.8997000999666779
smarterclayton,Clayton Coleman,2021-07-13T15:16:34Z,2021-07-14T00:42:27Z,2,37,{'Unknown'},2021-07-13 15:23:19,0,4,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,1132,2011-10-31T18:34:38Z,10.01,4.0,0,1,0.5994005994005994
rvanderp3,Richard Vanderpool,2021-07-13T14:16:20Z,2021-07-26T07:50:33Z,3,8,{'Unknown'},2021-07-26 07:48:49,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,7,2019-04-12T17:50:22Z,12.01,1.0,0,0,0.6661115736885929
wojtek-t,Wojciech Tyczynski,2021-07-13T08:45:12Z,2021-07-16T16:12:09Z,3,290,{'Unknown'},2021-07-13 15:51:41,1,26,2,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,301,2015-01-28T15:52:15Z,11.01,9.0,0,1,0.5449591280653951
dims,Davanum Srinivas,2021-07-12T23:19:09Z,2021-07-15T09:06:48Z,19,536,{'Unknown'},2021-07-12 23:37:06,0,19,4,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,422,2008-09-05T13:02:45Z,16.009999999999998,7.0,0,0,0.31230480949406625
andrewsykim,Andrew Sy Kim,2021-07-12T18:24:27Z,2021-07-12T21:37:42Z,1,17,{'Unknown'},2021-07-12 21:21:02,0,14,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,230,2015-06-01T15:52:39Z,8.01,5.0,0,1,0.6242197253433208
alculquicondor,Aldo Culquicondor,2021-07-12T15:53:19Z,2021-07-14T16:02:28Z,2,20,{'Unknown'},2021-07-14 16:00:48,0,0,1,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,89,2012-01-02T14:34:16Z,14.01,2.0,0,0,0.8565310492505354
andrewsykim,Andrew Sy Kim,2021-07-09T20:29:27Z,2021-07-11T18:26:46Z,1,155,{'Unknown'},2021-07-09 20:40:54,1,14,2,79447,2014-06-06T22:56:04Z,0.9999806580143518,186,230,2015-06-01T15:52:39Z,8.01,5.0,0,1,0.6242197253433208
